location,cleanliness_score,odor_score,waste_level,water_availability,footfall,complaints,hours_since_cleaning,risk_level,inspection_year,inspection_month,inspection_day
Urban,7,6,7,2,723,1,45,1,2024,1,1
Rural,3,8,2,1,522,1,34,1,2024,1,2
Semi-Urban,7,7,9,2,25,2,11,1,2024,1,3
Semi-Urban,8,8,4,2,840,5,48,1,2024,1,4
Urban,10,9,9,2,163,6,42,1,2024,1,5
Urban,6,6,2,2,877,4,47,1,2024,1,6
Urban,10,3,10,2,280,2,27,1,2024,1,7
Rural,9,10,4,2,604,3,42,1,2024,1,8
Semi-Urban,6,3,5,2,705,4,2,0,2024,1,9
Semi-Urban,9,1,2,2,251,1,6,0,2024,1,10
Urban,4,5,10,2,289,0,46,1,2024,1,11
Rural,8,4,1,2,959,7,2,0,2024,1,12
Rural,4,9,7,1,466,2,42,2,2024,1,13
Urban,2,9,10,0,893,6,17,2,2024,1,14
Urban,10,5,1,1,241,2,40,1,2024,1,15
Urban,9,10,8,2,71,3,48,1,2024,1,16
Urban,5,4,3,2,135,6,14,0,2024,1,17
Semi-Urban,4,7,10,2,557,4,10,1,2024,1,18
Urban,2,6,6,2,584,2,45,1,2024,1,19
Urban,1,4,7,2,896,7,33,2,2024,1,20
Semi-Urban,7,10,10,2,560,5,42,2,2024,1,21
Urban,6,2,1,2,38,5,12,0,2024,1,22
Urban,2,1,6,2,834,0,32,1,2024,1,23
Urban,8,4,7,0,411,2,24,1,2024,1,24
Semi-Urban,4,4,6,2,810,1,14,1,2024,1,25
Semi-Urban,8,1,4,2,648,5,5,0,2024,1,26
Urban,7,6,1,2,637,3,5,0,2024,1,27
Semi-Urban,5,4,9,2,438,8,47,1,2024,1,28
Semi-Urban,10,1,4,2,328,2,32,0,2024,1,29
Urban,10,1,7,2,758,3,45,1,2024,1,30
Semi-Urban,8,1,7,2,883,2,33,1,2024,1,31
Urban,9,8,2,1,205,3,46,1,2024,2,1
Urban,5,10,1,1,280,5,4,1,2024,2,2
Rural,10,8,8,0,547,8,30,2,2024,2,3
Rural,5,2,8,1,292,3,41,1,2024,2,4
Rural,2,7,7,2,179,3,17,1,2024,2,5
Urban,5,8,8,2,889,5,3,1,2024,2,6
Urban,3,8,3,2,781,2,13,1,2024,2,7
Semi-Urban,7,10,2,2,243,4,44,1,2024,2,8
Urban,10,7,7,2,275,3,48,1,2024,2,9
Urban,5,5,8,1,199,5,36,1,2024,2,10
Semi-Urban,8,1,1,2,39,4,18,0,2024,2,11
Urban,1,9,10,2,643,4,23,2,2024,2,12
Rural,3,7,9,2,651,2,35,1,2024,2,13
Urban,3,2,4,0,725,4,33,2,2024,2,14
Semi-Urban,9,6,4,2,487,5,36,1,2024,2,15
Urban,5,2,3,1,642,3,17,1,2024,2,16
Semi-Urban,9,1,6,1,229,0,39,1,2024,2,17
Semi-Urban,9,7,1,0,532,3,34,1,2024,2,18
Urban,1,2,6,1,77,6,12,1,2024,2,19
Rural,2,2,2,1,112,5,5,1,2024,2,20
Semi-Urban,5,5,9,2,240,3,48,1,2024,2,21
Rural,4,5,2,2,742,1,40,1,2024,2,22
Rural,10,7,7,2,959,6,27,1,2024,2,23
