water_availability,cleanliness_score,waste_level,hours_since_cleaning,odor_score,footfall,complaints,location_Urban,inspection_day,inspection_year,inspection_month,location_Semi-Urban,risk_level
2,7,7,45,6,723,1,True,1,2024,1,False,1
1,3,2,34,8,522,1,False,2,2024,1,False,1
2,7,9,11,7,25,2,False,3,2024,1,True,1
2,8,4,48,8,840,5,False,4,2024,1,True,1
2,10,9,42,9,163,6,True,5,2024,1,False,1
2,6,2,47,6,877,4,True,6,2024,1,False,1
2,10,10,27,3,280,2,True,7,2024,1,False,1
2,9,4,42,10,604,3,False,8,2024,1,False,1
2,6,5,2,3,705,4,False,9,2024,1,True,0
2,9,2,6,1,251,1,False,10,2024,1,True,0
2,4,10,46,5,289,0,True,11,2024,1,False,1
2,8,1,2,4,959,7,False,12,2024,1,False,0
1,4,7,42,9,466,2,False,13,2024,1,False,2
0,2,10,17,9,893,6,True,14,2024,1,False,2
1,10,1,40,5,241,2,True,15,2024,1,False,1
2,9,8,48,10,71,3,True,16,2024,1,False,1
2,5,3,14,4,135,6,True,17,2024,1,False,0
2,4,10,10,7,557,4,False,18,2024,1,True,1
2,2,6,45,6,584,2,True,19,2024,1,False,1
2,1,7,33,4,896,7,True,20,2024,1,False,2
2,7,10,42,10,560,5,False,21,2024,1,True,2
2,6,1,12,2,38,5,True,22,2024,1,False,0
2,2,6,32,1,834,0,True,23,2024,1,False,1
0,8,7,24,4,411,2,True,24,2024,1,False,1
2,4,6,14,4,810,1,False,25,2024,1,True,1
2,8,4,5,1,648,5,False,26,2024,1,True,0
2,7,1,5,6,637,3,True,27,2024,1,False,0
2,5,9,47,4,438,8,False,28,2024,1,True,1
2,10,4,32,1,328,2,False,29,2024,1,True,0
2,10,7,45,1,758,3,True,30,2024,1,False,1
2,8,7,33,1,883,2,False,31,2024,1,True,1
1,9,2,46,8,205,3,True,1,2024,2,False,1
1,5,1,4,10,280,5,True,2,2024,2,False,1
0,10,8,30,8,547,8,False,3,2024,2,False,2
