facility_id,location,cleanliness_score,odor_score,waste_level,water_availability,footfall,complaints,hours_since_cleaning,inspection_date,risk_level
F0001,Urban,7,6,7,Available,723,1,45,2024-01-01,Medium
F0002,Rural,3,8,2,Limited,522,1,34,2024-01-02,Medium
F0003,Semi-Urban,7,7,9,Available,25,2,11,2024-01-03,Medium
F0004,Semi-Urban,8,8,4,Available,840,5,48,2024-01-04,Medium
F0005,Urban,10,9,9,Available,163,6,42,2024-01-05,Medium
F0006,Urban,6,6,2,Available,877,4,47,2024-01-06,Medium
F0007,Urban,10,3,10,Available,280,2,27,2024-01-07,Medium
F0008,Rural,9,10,4,Available,604,3,42,2024-01-08,Medium
F0009,Semi-Urban,6,3,5,Available,705,4,2,2024-01-09,Low
F0010,Semi-Urban,9,1,2,Available,251,1,6,2024-01-10,Low
F0011,Urban,4,5,10,Available,289,0,46,2024-01-11,Medium
F0012,Rural,8,4,1,Available,959,7,2,2024-01-12,Low
F0013,Rural,4,9,7,Limited,466,2,42,2024-01-13,High
F0014,Urban,2,9,10,Unavailable,893,6,17,2024-01-14,High
F0015,Urban,10,5,1,Limited,241,2,40,2024-01-15,Medium
F0016,Urban,9,10,8,Available,71,3,48,2024-01-16,Medium
F0017,Urban,5,4,3,Available,135,6,14,2024-01-17,Low
F0018,Semi-Urban,4,7,10,Available,557,4,10,2024-01-18,Medium
F0019,Urban,2,6,6,Available,584,2,45,2024-01-19,Medium
F0020,Urban,1,4,7,Available,896,7,33,2024-01-20,High
F0021,Semi-Urban,7,10,10,Available,560,5,42,2024-01-21,High
F0022,Urban,6,2,1,Available,38,5,12,2024-01-22,Low
F0023,Urban,2,1,6,Available,834,0,32,2024-01-23,Medium
F0024,Urban,8,4,7,Unavailable,411,2,24,2024-01-24,Medium
F0025,Semi-Urban,4,4,6,Available,810,1,14,2024-01-25,Medium
F0026,Semi-Urban,8,1,4,Available,648,5,5,2024-01-26,Low
F0027,Urban,7,6,1,Available,637,3,5,2024-01-27,Low
F0028,Semi-Urban,5,4,9,Available,438,8,47,2024-01-28,Medium
F0029,Semi-Urban,10,1,4,Available,328,2,32,2024-01-29,Low
F0030,Urban,10,1,7,Available,758,3,45,2024-01-30,Medium
